,BindingDB,Host,Guest,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
17,3542_20,BDBM36126,BDBM36227,6.9,25.0,1.7249,94.34220000000003,150.5351617753875,104.73,356.37800000000016,7.0,3.0,8.0,46.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-10.35
18,3542_30,BDBM36126,BDBM36235,6.9,25.0,1.819,100.60200000000003,161.69433764198013,124.96,386.40400000000017,8.0,4.0,8.0,50.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-10.18
19,3542_34,BDBM36126,BDBM36239,6.9,25.0,2.7495000000000003,108.10120000000006,169.6299881185773,104.73000000000002,398.4590000000002,7.0,3.0,9.0,55.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-10.1
20,3542_23,BDBM36126,BDBM50043807,6.9,25.0,3.0900000000000016,93.18920000000004,143.984718215692,91.42,338.3630000000001,6.0,3.0,6.0,43.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-10.0
21,3542_19,BDBM36126,BDBM36226,6.9,25.0,1.7249,94.34220000000003,150.5351617753875,104.73,356.37800000000016,7.0,3.0,8.0,46.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.98
22,3542_25,BDBM36126,BDBM36230,6.9,25.0,2.2062,106.1989,166.42598672813705,120.52,395.4150000000001,8.0,4.0,8.0,50.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.84
23,3542_22,BDBM36126,BDBM50043809,6.9,25.0,3.0900000000000016,93.18920000000004,143.984718215692,91.42,338.3630000000001,6.0,3.0,6.0,43.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.8
24,3542_33,BDBM36126,BDBM36238,6.9,25.0,2.7495000000000003,108.10120000000006,169.6299881185773,104.73000000000002,398.4590000000002,7.0,3.0,9.0,55.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.7
25,3542_24,BDBM36126,BDBM36229,6.9,25.0,2.2062,106.1989,166.42598672813705,120.52,395.4150000000001,8.0,4.0,8.0,50.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.65
26,3542_6,BDBM36126,BDBM36217,6.9,25.0,1.2514999999999992,99.12800000000004,156.58079241247327,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.14
27,3531_24,BDBM36126,BDBM36122,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.14
28,3542_17,BDBM36126,BDBM36224,6.9,25.0,2.998800000000001,85.94950000000006,134.45883537733908,75.63000000000002,313.353,5.0,2.0,7.0,42.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-9.05
29,3542_10,BDBM36126,BDBM36221,6.9,25.0,0.9570999999999996,100.79280000000004,161.37502616466924,135.96,386.40400000000017,8.0,5.0,8.0,50.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-8.95
30,3542_5,BDBM36126,BDBM36216,6.9,25.0,1.2514999999999992,99.12800000000004,156.58079241247327,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-8.88
31,3542_9,BDBM36126,BDBM36220,6.9,25.0,0.9570999999999996,100.79280000000004,161.37502616466924,135.96,386.40400000000017,8.0,5.0,8.0,50.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-8.4
32,3542_2,BDBM36126,BDBM36213,6.9,25.0,1.2514999999999996,99.12800000000004,156.58079241247327,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-8.3
33,3542_35,BDBM36126,BDBM36240,6.9,25.0,2.5997000000000003,106.06750000000004,168.83412845164347,95.94,396.44300000000015,7.0,2.0,7.0,53.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-8.3
34,3542_38,BDBM36126,BDBM36243,6.9,25.0,2.5997000000000003,106.06750000000004,168.83412845164347,95.94,396.44300000000015,7.0,2.0,7.0,53.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-8.09
35,3542_1,BDBM36126,BDBM36212,6.9,25.0,1.2514999999999996,99.12800000000004,156.58079241247327,115.73000000000002,370.40500000000014,7.0,4.0,8.0,49.0,0.0,-17.406400000000005,261.0671999999995,495.7173837475217,633.2000000000003,1297.1280000000015,40.0,24.0,8.0,168.0,-7.9
